AD_LEVEL,TA_ID,TAMBON_T,TAMBON_E,AM_ID,AMPHOE_T,AMPHOE_E,CH_ID,CHANGWAT_T,CHANGWAT_E,LAT,LONG
4,110113,ต. บางด้วน,,1101,อ. เมืองสมุทรปราการ,Mueang Samut Prakan,11,จ. สมุทรปราการ,Samut Prakarn,13.622,100.581
4,141603,ต. สำพะเนียง,Sam Phaniang,1416,อ. บ้านแพรก,Ban Phraek,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.638,100.567
4,101504,แขวง บุคคโล,,1015,เขต ธนบุรี,Thon Buri,10,กรุงเทพมหานคร,Bangkok,13.707,100.486
4,120601,ต. ปากเกร็ด,Pak Kret,1206,อ. ปากเกร็ด,Pak Kret,12,จ. นนทบุรี,Nonthaburi,13.912,100.506
4,140811,ต. โคกช้าง,Khok Chang,1408,อ. ผักไห่,Phak Hai,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.500,100.388
4,760601,ต. บ้านลาด,Ban Lat,7606,อ. บ้านลาด,Ban Lat,76,จ. เพชรบุรี,Phetchaburi,13.063,99.928
4,120101,ต. สวนใหญ่,Suan Yai,1201,อ. เมืองนนทบุรี,Mueang Nonthaburi,12,จ. นนทบุรี,Nonthaburi,13.842,100.494
4,340107,ต. ปทุม,Pathum,3401,อ. เมืองอุบลราชธานี,Mueang Ubon Ratchathani,34,จ. อุบลราชธานี,Ubon Ratchathani,15.244,104.894
4,120202,ต. บางกรวย,Bang Kruai,1202,อ. บางกรวย,Bang Kruai,12,จ. นนทบุรี,Nonthaburi,13.809,100.499
4,640101,ต. ธานี,Thani,6401,อ. เมืองสุโขทัย,Mueang Sukhothai,64,จ. สุโขทัย,Sukhothai,17.012,99.822
4,120208,ต. ปลายบาง,Plai Bang,1202,อ. บางกรวย,Bang Kruai,12,จ. นนทบุรี,Nonthaburi,13.814,100.402
4,730101,ต. พระปฐมเจดีย์,Phra Pathom Chedi,7301,อ. เมืองนครปฐม,mueang Nakhon Pathom,73,จ. นครปฐม,Nakhon Pathom,13.819,100.050
4,500113,ต. หนองป่าครั่ง,Nong Pa Khrang,5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,จ. เชียงใหม่,Chiang Mai,18.788,99.034
4,910504,ต. ปากน้ำ,Pak Nam,9105,อ. ละงู,La-ngu,91,จ. สตูล,Satun,6.834,99.691
4,730316,ต. วัดสำโรง,Wat Samrong,7303,อ. นครชัยศรี,Nakhon Chai Si,73,จ. นครปฐม,Nakhon Pathom,13.827,100.218
4,850101,ต. เขานิเวศน์,Khao Niwet,8501,อ. เมืองระนอง,Mueang Ranong,85,จ. ระนอง,Ranong,9.960,98.621
4,140112,ต. วัดตูม,Wat Tum,1401,อ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.390,100.539
4,200114,ต. บ้านปึก,Ban Puek,2001,อ. เมืองชลบุรี,Mueang Chon Buri,20,จ. ชลบุรี,Chon Buri,13.302,100.928
4,500105,ต. ช้างคลาน,Chang Khlan,5001,อ. เมืองเชียงใหม่,Mueang Chiang Mai,50,จ. เชียงใหม่,Chiang Mai,18.774,98.996
4,560101,ต. เวียง,Wiang,5601,อ. เมืองพะเยา,Mueang Phayao,56,จ. พะเยา,Phayao,19.172,99.894
4,140804,ต. ลาดน้ำเค็ม,Lat Nam Khem,1408,อ. ผักไห่,Phak Hai,14,จ. พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,14.482,100.393
